T,TM,Tm,H,VV,V,VM,PM2.5,nan
24.7,30.8,20.7,80.0,6.9,0.9,3.5,64.875,nan
25.4,30.8,20.4,78.0,6.9,0.9,3.5,47.583333333333336,nan
23.7,29.6,20.5,79.0,6.9,6.7,9.4,42.31578947368421,nan
23.2,28.0,20.2,75.0,6.9,8.0,9.4,43.04166666666666,nan
21.8,28.0,20.1,85.0,5.5,7.2,9.4,38.41666666666666,nan
22.6,27.4,19.8,79.0,6.9,7.8,9.4,49.29166666666666,nan
22.7,27.4,20.4,80.0,6.9,7.2,9.4,19.541666666666668,nan
22.5,27.2,20.0,84.0,6.9,5.6,9.4,22.83333333333333,nan
23.1,26.8,19.7,79.0,7.7,6.7,9.4,25.347826086956523,nan
23.3,28.7,20.3,77.0,6.9,6.3,9.4,74.66666666666667,nan
23.2,28.9,19.8,71.0,6.3,9.1,11.1,41.875,nan
24.0,29.9,19.1,69.0,6.9,7.8,11.1,50.583333333333336,nan
24.3,30.3,20.5,67.0,8.5,5.2,7.6,58.125,nan
23.4,29.9,20.6,74.0,6.9,5.0,9.4,57.29166666666666,nan
23.9,29.4,21.0,73.0,6.3,7.0,14.8,38.25,nan
23.4,27.8,20.6,79.0,6.9,5.9,9.4,47.41666666666666,nan
23.7,27.8,20.1,74.0,7.4,5.9,7.6,56.91666666666666,nan
24.2,28.3,20.0,72.0,6.6,2.8,5.4,54.625,nan
23.9,31.1,20.1,78.0,6.9,1.3,3.5,45.958333333333336,nan
24.2,31.1,19.9,81.0,6.9,1.9,5.4,52.25,nan
24.8,30.0,20.0,72.0,9.2,3.5,5.4,43.333333333333336,nan
24.7,29.9,20.7,69.0,7.7,2.2,3.5,62.9375,nan
25.4,30.7,19.8,64.0,6.9,2.2,3.5,0.0,nan
25.3,30.7,20.8,76.0,7.4,0.6,3.5,0.0,nan
23.6,30.4,19.6,79.0,6.9,2.8,5.4,91.5,nan
22.6,30.4,19.1,84.0,6.9,1.9,3.5,70.70833333333333,nan
23.6,29.9,19.3,83.0,6.8,1.9,3.5,51.79166666666666,nan
24.4,30.0,20.8,67.0,9.2,5.0,9.4,0.0,nan
25.4,30.3,21.2,66.0,8.2,2.6,5.4,21.384615384615383,nan
24.0,30.3,21.1,75.0,9.2,3.9,7.6,13.0,nan
21.6,24.3,19.8,86.0,5.5,3.1,3.5,156.25,nan
22.0,25.4,20.2,82.0,6.3,3.1,5.4,178.28571428571428,nan
22.7,26.8,20.4,76.0,9.2,3.3,5.4,158.3913043478261,nan
22.0,27.5,20.4,89.0,5.5,3.1,3.5,252.625,nan
22.4,27.5,19.8,87.0,6.3,3.1,3.5,119.41666666666669,nan
21.9,27.3,19.8,90.0,6.3,3.0,5.4,126.0,nan
22.0,28.4,17.5,70.0,6.3,1.3,3.5,232.33333333333331,nan
23.2,28.2,20.0,72.0,6.9,2.2,3.5,215.54166666666663,nan
22.8,27.6,19.8,74.0,6.9,2.0,5.4,239.41666666666663,nan
21.4,27.6,18.4,71.0,6.3,0.9,3.5,196.54166666666663,nan
23.2,29.4,17.9,58.0,6.3,2.0,5.4,232.54166666666663,nan
23.0,29.5,18.8,59.0,6.3,0.4,3.5,185.5,nan
23.2,29.5,18.8,63.0,6.3,0.9,3.5,282.1666666666667,nan
20.2,27.4,19.6,94.0,4.0,3.5,3.5,268.8695652173913,nan
21.4,24.6,20.2,91.0,5.5,3.7,7.6,166.875,nan
21.9,27.4,18.0,80.0,6.3,2.8,5.4,135.16666666666666,nan
22.1,28.1,17.4,71.0,6.6,2.8,3.5,220.65217391304347,nan
21.8,28.0,18.3,70.0,9.2,2.8,3.5,215.5,nan
22.2,28.8,17.1,68.0,6.3,0.4,3.5,223.375,nan
21.2,26.7,18.0,68.0,6.9,2.4,5.4,135.58333333333334,nan
21.4,27.4,15.8,64.0,6.3,1.1,5.4,152.04166666666666,nan
21.7,29.2,16.5,60.0,8.2,1.9,3.5,212.125,nan
22.3,28.2,16.6,50.0,6.6,1.9,5.4,70.0625,nan
21.3,28.2,17.0,60.0,6.9,0.9,3.5,91.75,nan
21.1,29.0,15.3,55.0,8.0,0.4,3.5,104.2608695652174,nan
21.9,28.6,17.6,72.0,6.3,3.0,9.4,119.70833333333331,nan
22.8,29.2,18.4,77.0,6.3,1.9,3.5,110.875,nan
23.3,29.3,19.8,74.0,5.6,2.8,3.5,200.33333333333331,nan
21.6,26.6,18.2,76.0,6.3,2.4,5.4,203.58333333333331,nan
21.6,26.4,19.6,83.0,6.9,1.3,3.5,60.2,nan
23.1,28.8,19.1,74.0,6.9,2.8,3.5,97.85714285714286,nan
21.1,25.2,18.8,78.0,5.5,3.1,3.5,349.2916666666667,nan
21.4,28.0,17.6,71.0,6.3,1.9,5.4,188.04166666666663,nan
21.1,28.3,17.1,74.0,7.7,0.9,3.5,310.25,nan
